frequency,peak_power,interference_type
1449.080237694725,-40.74335355806902,Смешанные
2601.4286128198323,-22.904952631082093,Смешанные
2163.98788362281,-6.352708206179585,Смешанные
1897.3169683940732,-13.388755679521942,Смешанные
1012.0372808848731,-9.671942606927516,Смешанные
1011.9890406724053,-17.060831664464132,Смешанные
816.1672243363989,-15.386171774107375,Импульсные
2432.3522915498706,-7.5402174217340345,Смешанные
1902.2300234864176,-37.516599557040706,Смешанные
2116.145155592091,-25.528751817842977,Смешанные
741.168988591605,-38.93952790901989,Смешанные
2639.819704323989,-0.6165996001676533,Смешанные
2364.8852816008434,-2.797033015669335,Смешанные
1124.6782213565523,-48.0286594315747,Смешанные
1063.6499344142012,-14.72124137421558,Смешанные
1066.8090197068677,-3.7375841292167067,Смешанные
1308.4844859190755,-40.97123274363332,Смешанные
1749.5128632644758,-21.602738472368525,Смешанные
1563.8900372842315,-4.225585120597906,Смешанные
1282.4582803960839,-48.30270107071006,Смешанные
1923.705789444759,-15.128986637658002,Смешанные
978.9877213040836,-35.13254963137246,Смешанные
1284.2892970704363,-3.780190231173478,Смешанные
1432.7236865873833,-1.4470877417316146,Смешанные
1612.1399684340718,-2.786675544328304,Смешанные
2270.351922786027,-26.28928916712681,Смешанные
1099.3475643167194,-6.897867450534328,Смешанные
1728.4688768272233,-7.772530073246479,Смешанные
1884.8291377240848,-34.04497633783722,Смешанные
792.9008254399954,-8.554226292466133,Импульсные
1915.0897038028768,-48.14961826422537,Широкополосные
1041.048247374583,-20.18650607589735,Смешанные
830.103185970559,-38.49955813561485,Смешанные
2597.7710745066665,-43.97165571113606,Широкополосные
2631.2640661491187,-46.15233991853954,Широкополосные
2316.7946962329224,-15.185561206093013,Смешанные
1309.2275383467413,-33.0062518115967,Смешанные
895.3442280127678,-13.761661423561925,Импульсные
2068.4660530243136,-46.73218296005288,Широкополосные
1580.3049874792027,-34.23548310846948,Смешанные
944.0764696895576,-23.025435381233137,Смешанные
1690.3538202225404,-10.46384175805182,Смешанные
768.7770422304368,-34.062374853396506,Смешанные
2518.640804157564,-18.705431178149546,Смешанные
1217.559963200034,-5.701112588190647,Смешанные
2025.044568707964,-19.20684059088477,Смешанные
1323.4221521788218,-38.35202626231831,Смешанные
1740.1360423556216,-48.779960922173096,Смешанные
1793.4205586865594,-6.495056304953508,Смешанные
1069.7089110510542,-48.936529457480646,Смешанные
2639.1692555291174,-6.264916365790029,Смешанные
2250.265646722229,-23.5531432986394,Смешанные
2578.997883128378,-3.046615074355188,Смешанные
2489.654700855298,-10.060838211316728,Смешанные
1895.7999576221703,-0.10329447333312913,Смешанные
2543.7484700462337,-32.46440922741449,Смешанные
876.985004103839,-11.640585553443657,Импульсные
1091.9657248382905,-29.903454319537893,Смешанные
790.4545778210761,-26.00621898480456,Смешанные
1350.6606615265287,-18.624726839081497,Смешанные
1477.354579378964,-6.316144290683063,Смешанные
1242.6980635477917,-0.7958265400352431,Смешанные
2357.4750183038586,-11.58632930677409,Смешанные
1413.5066533871786,-29.111660891633313,Смешанные
1261.8690193747616,-28.93214988614649,Смешанные
1785.392166316497,-13.120884920555426,Смешанные
981.8484499495253,-38.061142711584885,Смешанные
2304.3939615080794,-44.47629434343027,Широкополосные
849.1012873595416,-32.26889211796117,Смешанные
2673.773873201035,-35.638050417295915,Смешанные
2244.489538593315,-35.18459397720049,Смешанные
1097.4313630683448,-38.319612447504504,Смешанные
711.0442342472048,-47.895340518181904,Смешанные
2330.9228569096686,-49.10630326332931,Широкополосные
2113.7146876952343,-0.6138805131984242,Смешанные
2158.0143360819748,-28.611343313206884,Смешанные
2242.5406933718914,-30.783667642015917,Смешанные
848.0893034681808,-16.017635865346506,Импульсные
1416.9314570885454,-39.087305606746796,Смешанные
931.7381190502595,-2.5019408024887326,Импульсные
2426.206851751187,-10.6827492792224,Смешанные
1946.5962536551158,-45.52944988438703,Широкополосные
1361.7960497052984,-29.12096121075358,Смешанные
827.1167005720473,-6.044084621891763,Импульсные
1321.9646434313245,-2.7633988854294884,Смешанные
1350.366644053494,-26.629924437506514,Смешанные
2159.2123566761284,-19.329430539464614,Смешанные
1975.1149427104262,-41.64830269539624,Широкополосные
2474.425485152653,-0.44156869315117575,Смешанные
1644.4298503238986,-38.41641493082783,Смешанные
939.1884918766034,-2.863411293243715,Импульсные
2126.48957444599,-17.517667550381574,Смешанные
2221.570097233795,-19.613160256057043,Смешанные
1822.5543951389925,-24.36557444917457,Смешанные
2241.9343599091217,-38.46650941411207,Смешанные
1687.5911927287816,-41.17359839972458,Смешанные
1745.4656587639881,-38.97568954649123,Смешанные
1555.0820367170993,-40.67808689278728,Смешанные
750.8382534881904,-11.020776321662332,Импульсные
915.7828539866089,-32.49373704166349,Смешанные
762.8583713734685,-47.10786617183018,Смешанные
1972.8208225275607,-1.5448684929594307,Смешанные
1328.7119621526533,-5.8107057518287135,Смешанные
1717.1413823294056,-3.612385840239355,Смешанные
2515.132947852186,-0.2546088676782361,Смешанные
1198.58445829775,-41.30523753902563,Смешанные
1520.7658460712596,-30.187899054867064,Смешанные
2211.1022770860973,-12.088076214795436,Смешанные
1157.596330983245,-15.198969097310389,Смешанные
853.959819657586,-42.30520468300725,Смешанные
1279.502905827536,-9.208343750469112,Смешанные
1022.4425745080089,-38.77797140816696,Смешанные
2559.395304685146,-38.80911925886885,Смешанные
2316.240759128834,-23.15127885532932,Смешанные
1966.807513020847,-20.353003257914843,Смешанные
2442.921180375435,-20.99568960810944,Смешанные
2307.344153798229,-45.425658130112254,Широкополосные
1073.1401177720718,-6.126956868480981,Смешанные
2485.1179969799555,-36.7199978705647,Смешанные
1778.6844838313013,-43.52425393585979,Смешанные
2314.8803103281252,-5.562596006551139,Смешанные
2492.1825998469867,-2.2174250885123286,Смешанные
1336.0069499437277,-6.893619136727466,Смешанные
920.1038490553535,-9.524196263756096,Импульсные
1155.8703250838835,-17.237900968048912,Смешанные
1554.2155772525125,-22.457131469543036,Смешанные
2336.029531844986,-45.65066200442949,Широкополосные
2421.4611665126868,-29.577339346465063,Смешанные
713.9042610623814,-31.3655741493843,Смешанные
